id,datetime,weekday,hour,minutes,day,month,year,day_period,seasson,acc_cause,meteo_condition,road_condition,nr_injured,nr_dead,nr_vehicles,lat,lon
10,2023-01-01 23:30:00,6,23,30,1,1,2023,Late Evening,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Umedă,0,1,1,277895.95586176,167891.67752055
11,2023-01-01 20:20:00,6,20,20,1,1,2023,Evening,Winter,Circulație pe stînga,Timp senin,Umedă,1,0,2,157493.69225178,249252.84742796
12,2023-01-01 19:30:00,6,19,30,1,1,2023,Evening,Winter,Depășire neregulamentară,Timp senin,Umedă,2,0,1,204524.10941684,61656.22853587
13,2023-01-01 18:58:00,6,18,58,1,1,2023,Evening,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Lapoviță,Umedă,2,0,1,218965.42513373,193083.77808095
14,2023-01-01 07:30:00,6,7,30,1,1,2023,Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Ghețuș,1,0,1,245629.19938636,231922.53560956
15,2023-01-01 18:10:00,6,18,10,1,1,2023,Evening,Winter,"Stare de ebrietate alcoolică, adormire la volan",Înnourat,Umedă,2,0,1,221584.58499415,183045.54178808
17,2023-01-01 02:30:00,6,2,30,1,1,2023,Late Night,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Ceață,Umedă,1,0,1,109021.92888434,336041.26275229
18,2023-01-02 11:43:00,0,11,43,2,1,2023,Late Morning,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,234806.91095654,210857.19590591
19,2023-01-03 09:00:00,1,9,0,3,1,2023,Late Morning,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Timp senin,Ghețuș,1,0,1,166506.4941803,316250.68323122
20,2023-01-02 17:47:00,0,17,47,2,1,2023,Early Afternoon,Winter,Neacordarea priorității pietonilor,Înnourat,Uscată,1,0,1,226726.09550421,211566.74259629
21,2023-01-02 19:23:00,0,19,23,2,1,2023,Evening,Winter,"Viteză neadecvată vizibilității, condițiilor, situației rutiere",Înnourat,Uscată,1,0,1,235057.68937411,219424.19300251
22,2023-01-02 10:15:00,0,10,15,2,1,2023,Late Morning,Winter,Neacordarea priorității altor autovehicule,Lapoviță,Uscată,1,0,2,221648.77288082,173083.72050955
23,2023-01-05 11:00:00,3,11,0,5,1,2023,Late Morning,Winter,Neacordarea priorității pietonilor,Timp senin,Uscată,1,0,1,229755.79173551,210095.42619585
24,2023-01-05 15:50:00,3,15,50,5,1,2023,Early Afternoon,Winter,Traversare neregulamentară a drumului de către pietoni,Timp senin,Uscată,1,0,1,233424.26475604,210688.91776844
25,2023-01-05 17:30:00,3,17,30,5,1,2023,Early Afternoon,Winter,Traversare neregulamentară a drumului de către pietoni,Înnourat,Uscată,1,0,1,242051.13178515,213920.41783566
26,2023-01-05 17:25:00,3,17,25,5,1,2023,Early Afternoon,Winter,Deplasarea pietonilor pe partea dreaptă a drumului,Timp senin,Umedă,0,1,1,221087.77494257,220082.66309137
